Id,AcceptedAnswerId
29491484,29491551
39326346,39326444
39382587,39383090
29775791,29776438
29688433,
19985227,19986009
40467360,40477555
50083233,50083264
58613748,
19637312,21328625
39867553,39870477
29643423,29643709
29778995,29780932
29805906,29806496
49175153,
39366175,39366497
49395288,
40165724,40181168
40074535,
40172506,40175017
49342264,
30248055,
49747338,49747521
41155547,
49343169,
49442448,
30557943,
31700100,
37527707,
49619834,
39730315,
50093543,
43364105,
30092383,
39748012,40174912
30429524,
39695271,39695321
49676981,
39691082,
29876454,
39695320,
29872848,29872953
30721136,30734760
39838247,
30205679,
40543929,40544038
30723111,
40254320,
30397013,30397272
50792281,
41197957,41198366
30275126,30275190
41190853,
30670379,30670812
30504093,
30531978,30532474
30728391,
31625752,
31854480,
40566932,40567091
31323968,
30451771,30452008
49962875,
40852203,40852256
50353461,
22349693,22349757
40841570,
39519305,39519972
39719216,
39837882,39838043
39932794,39932911
31728661,
42042475,
40861681,
29823766,29824080
25353226,25353400
30675038,
22651795,
44612065,
33672892,
50490891,
25378581,25378633
23476308,
35001002,35001522
43134093,43134899
33675418,
43308800,
26013793,26015464
33917733,33927043
19922696,
43540191,43542389
25783602,
44682558,44682646
27857564,
23450191,
35149623,
56796886,
27955242,27955340
44641144,
44682989,
35877893,
27965797,27966151
37227970,37229568
28024529,28024875
37402038,37402143
39287543,
37217397,37217669
27924004,27924770
46788398,
46795820,46815841
37504749,37505108
27906630,27907540
27979950,
37363774,
47334162,
46756261,
37297095,
47343026,47343166
38590259,38712755
29255501,29256149
52456898,52464116
22999662,22999753
43613493,
33988926,
33998694,33998725
34008901,34009288
42038620,
25954202,26033133
43361534,43361900
42494143,
43274068,
38585015,
34293055,
33854737,40104439
43755688,
34297210,
34265639,34284322
35389967,35390149
35868015,36024472
42864555,
40387088,40387156
42867515,42867841
24040985,24041243
29602421,29602925
34267045,
34279505,34279611
41647581,
24678729,24678992
39517820,
31996340,31996586
43468846,43470673
53425493,53429197
41800227,
51079420,
30913089,30914103
43841623,43841664
51187443,51514654
39945486,39945948
31826302,31826376
29831906,29833325
26023962,
49331847,49333173
34109461,34109518
54655018,54664763
34378533,34378730
35485955,
35506408,35507567
34363841,
35526430,35526563
49318077,
24498920,24499205
55114482,
20109758,20109905
39967183,39967248
34670405,34670970
35923285,
34677032,34677152
29816414,
39820323,
43800509,
40213141,
34699893,34699951
34686738,34686887
32556567,
30415342,
32851650,
39904276,39904323
32416171,32416275
42090715,
30168919,
42073385,
41844441,
50885864,
51647948,51648386
41546037,41546084
32190744,
42075892,42075934
30354474,30366657
51547636,
30182864,30190992
24843871,24844486
24844939,24845115
30230102,30230456
24699056,
42179557,
34311049,34312204
53774195,
53856161,53856588
42182362,42188811
34616568,34617466
43909548,
25027547,25027658
23038001,
44152197,44153207
34848537,34848774
34868338,
34636430,
34845015,
34867586,
34875263,34875819
41425358,
32445515,
44182050,
34979766,
44543887,
30631794,
34321852,
44145135,
34881623,34881974
25117625,25118708
25150807,
42900332,
44707087,44707259
25069458,25072556
44240304,
44388042,44390355
25523396,25523616
23439324,23440017
25124553,
25567783,26774549
35546388,
35549519,35549960
30634584,
35570631,
25656496,25656592
42185051,
30802450,30802525
50071480,
40513594,40515630
31080043,
42884249,
34897281,
32854893,
30952133,
35532183,35533023
21342958,21344096
32857580,
32635838,
32657358,32657444
30940464,30940584
51878038,51965842
31031512,31063051
42674147,42674999
40713767,40714066
31061340,31061748
32869531,32869695
33353238,
27282941,27285951
31200086,
40876613,
21779673,21779784
38608299,38608476
48530901,48531084
42698854,42705500
40888548,
37008780,
48640042,48640377
50696378,
36345147,36345660
27704157,27704310
43014924,43022001
48637940,
25277432,25277528
44956215,
27696821,27697180
36429947,36431508
48579049,
48618449,
35072707,35073023
26837771,26837889
26769115,26985656
36776821,36785501
26760088,26760197
36471477,
24982021,
35330150,35330211
27708979,
37049558,
46047930,
27351872,27352248
36446884,36447187
40804145,40804172
35085845,
45536782,
46107493,
46113881,
31431563,31431717
31408569,31408866
46106747,
21702133,21703741
46148940,
31533201,
41118961,41120990
26804268,26804380
27384637,27385154
50757825,
46190357,
36512799,36512914
27510603,27531295
36129133,
26908857,
36856406,
45325093,
36544586,
40934175,40934341
27505245,27506295
27530530,27530877
41276292,
31650561,31651086
41137542,41140962
27588086,
31649429,
42334576,
45634543,45634805
23917306,23917690
32950171,32950261
42359409,
43186843,43188544
43370226,43406034
33768465,33768704
41572300,41573471
42364652,42364751
33166314,
22957085,
41473498,41473622
24167815,24168990
33170057,33170225
32048412,32060249
42413931,
22385445,22386114
33185084,33185716
41875702,
42724291,
32222032,
33166790,
22960643,22963662
51724958,
33367092,
33553564,33553821
40907532,40907859
45327782,
41867851,41929494
32210264,32220716
23971409,
33268937,
21791411,21792195
43387469,43389143
22967612,22967767
42458758,
32353261,32354224
32478202,
43393135,
23303373,23303641
42838307,42839536
23293053,23293318
43574971,
23692311,
41344374,41344532
40923942,41068269
33779300,33779921
31668974,31669576
43059382,
42811546,
41357652,
31917526,
23257859,
50907159,50907341
33604640,
41739136,
43061021,43061052
35574491,
35585898,
35963939,35968623
35986833,35987322
26646428,
41583159,
33600197,33600260
36376432,36376982
36018616,
43234129,
25807357,25807511
45179566,
35977353,35977678
44411991,
36020253,36020299
36183021,36183126
37530057,
28171115,28171216
35585567,35586615
45176665,
44904178,
44411009,
36363557,36364149
41767245,41767511
33586858,
41103160,
26318812,
35996713,35997490
55441036,55441197
36194049,36198126
32265407,32265563
32256661,32256849
27009176,
32272617,
55846970,
45707081,
27606994,27613241
31962267,31963004
26461948,
45659361,
18550822,18551929
37572626,
37580820,
37617290,37617486
25248154,25248501
25251011,
46307271,46307507
37633684,
18507992,
56536418,
57069596,
41898265,41898291
32358566,
33984844,33985981
34195701,34196290
32976452,
28273029,28273147
33616375,33616765
32706003,32706097
42279205,42281594
34494266,
33822352,
42478788,42479057
32084909,32084986
28404592,28404898
32990300,32990951
43430268,
33823687,33824086
28476261,28482076
32708430,
34192457,
33034985,
37694809,37695166
29296011,29296189
42483728,42484442
28461284,29397178
47474349,
37772779,37773467
37845068,37845539
38678542,38678624
38687542,
29424289,29424350
38751099,38751538
28460924,
28468485,
29395362,29424782
38745722,38745941
42224538,42224608
29315417,
37858874,37860611
42305632,42306671
29343501,29343650
37955891,
29434003,
38787053,38787309
33493534,33493901
47672822,47673085
37879689,37879792
43145597,
27079376,27079391
47619979,
28600124,
28789286,
33131717,33133509
33728114,33728243
46987584,
27087055,
23878814,
38179245,
38215385,
38885748,
28526339,28526772
42648981,
45828645,45828753
47736937,47736995
45851042,45851118
28801435,
47178070,
38912285,
46536393,
36970201,36970461
38981998,38982078
38150262,
28842477,
27785357,27785439
47833279,
37120664,37120758
47109004,47109610
29034234,29034493
38927997,
47771970,
47144751,47145450
28750512,28750675
28927199,28927502
37119895,37120426
34431738,
34446300,34446864
34761447,34761825
29039413,29039508
38396351,
44073158,44073338
25313740,25313815
46989609,
28939647,
47270999,47287355
29153021,
24933798,
44499666,
35116602,35117197
47837274,47837377
34477990,34478129
29093295,29122380
38524405,38524699
25315258,
29182763,29182846
35353190,
34796110,34806030
47233915,47234033
44519682,44521010
47318875,
38374074,
34777934,
47329262,
25930774,25931127
39076577,
47918196,47918313
35358627,
35373004,35404299
39047354,
39073374,
39123468,
47887799,47887957
39128767,
29169076,
38521155,38521187
39140079,
47856818,
47922905,47923650
47979035,47979329
39172032,
39253720,
