Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"29491484","1","29491551","","2015-04-07 12:21:54","","1","207","<p>I have created a drop-down using angularjs directive, the directive is working fine, right now I writing all the css within the directive itself, In one of the feature when the mouse hovers the drop-down list options it should change the background color to <code>#27A1EC</code> - blue, and text color to white, on mouse leave then the background color to be white and text color to be the actual color, everything is working fine but one issue I am facing is that since we don't have JQuery <code>.find()</code> option in JQLite I have tried using like as shown below</p>

<p>I have used <code>angular.element(document.querySelector('#parent'))</code> instead of <code>elm.find('a').first()</code>, I don't whether this is correct or not</p>

<pre><code> elm.find(""a"").bind(""mouseover"", function() {
        scope.actualColor = scope.textColor.color;
        //elm.find('a').first().css('color', 'white').css('background-color', '#27A1EC');
        angular.element(document.querySelector('#parent')).css('color', 'white').css('background-color', '#27A1EC');
      });

 elm.find(""a"").bind(""mouseleave"", function() {
        //elm.find('a').first().css('color', scope.actualColor).css('background-color', 'white');
        angular.element(document.querySelector('#parent')).css('color', scope.actualColor).css('background-color', 'white');
      });
</code></pre>

<p>Now when I hover the mouse to <strong>Parent2</strong> within the drop-down list the hover color changing is redirecting and is applying to <strong>Parent1</strong></p>

<p>Can anyone please tell me some solution for this, </p>

<p><strong><a href=""http://plnkr.co/edit/2GEwx4JuyWLQjrgUqlg0?p=preview"" rel=""nofollow"">Plunker</a></strong></p>
","3253853","","","","","2015-04-07 12:33:14","alternative for .first() in jqlite","<javascript><jquery><html><css><angularjs>","1","2","","",""
"39326346","1","39326444","","2016-09-05 08:13:40","","4","523","<p>Does anyone knows an Angular directive for sliding long text when hovering on the HTML element? I prefer not using jQuery plugin, if possible.</p>

<p>Currently, the text is being truncated using css, but I want to be able to show the remaining characters to the user when hovering on it.</p>

<p>Any alternative solution is also warmly welcomed.</p>

<p>My Html:</p>

<pre><code>&lt;div class=""name""&gt;&lt;span&gt;{{ field.name }}&lt;/span&gt;
</code></pre>

<p>My CSS:</p>

<pre><code>span {
     padding: 0 10px;
    font-size: 16px;
    font-weight: 100;
    line-height: 32px;
    text-overflow: ellipsis;
    overflow: hidden;
    display: block;
    white-space: nowrap;
    }
</code></pre>
","5686292","","","","","2016-09-07 12:14:06","Angular Directive for sliding long text from side to side","<javascript><jquery><html><css><angularjs>","2","0","","",""
"39382587","1","39383090","","2016-09-08 04:25:04","","0","2121","<p>I am new to angular.
I am using angular1.4 and bootstrap.
Problem: I have a span whose width grows or shrinks depending on the text content which is bound.</p>

<pre><code>&lt;div myStyleDir&gt;
   &lt;span&gt;{{someContent}}&lt;/span&gt;
&lt;/div&gt;
</code></pre>

<p>In the scope:</p>

<pre><code>$scope.someContent = ""abcdefgh"";
</code></pre>

<p>Based on the width of this span in the DOM, I have to proceed with some other calculations which I want to do using a directive myStyleDir. 
In the link function of directive, the jQuery-lite 'element' param width is coming as '0'.  </p>

<p>Span is not yet rendered when the 'link' function is getting executed ? 
How do I get the width of the  <code>&lt;span&gt;{{someContent}}&lt;/span&gt;</code>element inside my link function ? If this is not a feasible approach please suggest an alternative. Thanks in advance !</p>
","3427320","","","","","2016-09-08 21:19:31","Calculate width of element - Angular Directive","<javascript><jquery><html><css><angularjs>","2","1","","",""
"29775791","1","29776438","","2015-04-21 14:54:26","","0","99","<p>I ran into this beautiful UI mockup on Behance and am very curious about the best way to implement this.</p>

<p><a href=""https://www.behance.net/gallery/25264659/Google-transitions"" rel=""nofollow"">https://www.behance.net/gallery/25264659/Google-transitions</a></p>

<p>Essentially, I would like my search bar and logo to animate up to the top exactly like this after the form (aka the text input) has been submitted.</p>

<p>My app is an Angular app, so would it be more practical to create an Angular directive? Or implement this with pure CSS or JQuery (independent from Angular)?</p>
","2029747","","","","","2015-04-21 15:20:05","CSS/JQuery/Angular transition on form submit","<javascript><jquery><html><css><angularjs>","1","1","","",""
"29688433","1","","","2015-04-17 00:55:42","","0","61","<p>I am making a simple web game where can use arrow keys to move a div around the page with the goal of colliding it with another div. The second div will then be randomly placed somewhere else on the page. My question is, how can I change to following code to relocate the second div apon collision? </p>

<p>I have code that does this when the div is clicked</p>

<pre><code>$('#test').click(function() {
  var docHeight = $(document).height(),
    docWidth = $(document).width(),
    $div = $('#test'),
    divWidth = $div.width(),
    divHeight = $div.height(),
    heightMax = docHeight - divHeight,
    widthMax = docWidth - divWidth;

$div.css({
    left: Math.floor( Math.random() * widthMax ),
    top: Math.floor( Math.random() * heightMax )
});
});
</code></pre>

<p>I am looking to do this in jquery, js, or angular. Any help is appreciated.</p>
","3299574","","3299574","","2015-04-17 01:02:20","2015-04-17 03:05:29","Randomly re-place a div element when an animated div crosses coordinates","<javascript><jquery><html><css><angularjs>","1","2","","",""
"19985227","1","19986009","","2013-11-14 18:15:57","","0","366","<p>In my Angular app I have a div whose left offset I'd like to increase by 90px every time the <code>slideThis()</code> function gets called. In jQuery I'd do this by specifying something like <code>left: '+=90'</code>, however as far as I can see there seems to be no equivalent or comparable method for doing that in AngularJS - or am I following the completely wrong approach?</p>

<p>HTML:</p>

<pre><code>&lt;div ng-style=""myStyle""&gt;&lt;/div&gt;
</code></pre>

<p>JS:</p>

<pre><code>$scope.slideThis = function() {
    $scope.myStyle = {
        left: '+=90'
    }
}
</code></pre>

<p>Would really appreciate any advice on how to go about something like this!</p>
","1356761","","","","","2013-11-14 18:56:11","CSS offset increments with AngularJS","<javascript><jquery><html><css><angularjs>","1","1","","",""
"40467360","1","40477555","","2016-11-07 14:16:52","","1","35","<p>I'm a new angularjs student, and i was making my menu with ng-repeat.
I made a template too, but when i debug my code, all jquery animations are gone. All menus are inside of my div's with jquery animations.</p>

<pre><code>            &lt;nav class=""navbar-default navbar-static-side"" role=""navigation""&gt;
            &lt;div class=""sidebar-collapse""&gt;
                &lt;ul class=""nav metismenu"" id=""side-menu""&gt;

                 &lt;webapi class=""nav metismenu sidebar-collapse""&gt;&lt;/webapi&gt;

                &lt;/ul&gt;
            &lt;/div&gt;
        &lt;/nav&gt;
</code></pre>

<p>This is my HTML, the repeat with a template only works with bootstrap CSS style, but all animations are gone.
Can anyone help me, please?</p>

<p>Thanks a lot!</p>

<p><a href=""https://plnkr.co/edit/BCmH9wnXXQzd7wntsrZl?p=preview"" rel=""nofollow noreferrer"">https://plnkr.co/edit/BCmH9wnXXQzd7wntsrZl?p=preview</a></p>
","7106868","","1544886","","2016-11-08 01:53:24","2016-11-08 01:53:24","AngularJS broken JQuery animations","<javascript><jquery><html><css><angularjs>","1","3","","",""
"50083233","1","50083264","","2018-04-29 03:55:39","","-1","125","<p>I am getting the current url through the code i declared in app component to my app.component.html</p>

<p><strong>app.component.ts</strong></p>

<pre><code>import { Component } from '@angular/core';
import { Router } from '@angular/router';

@Component({
  selector: 'app-root',
  templateUrl: './app.component.html',
  styleUrls: ['./app.component.css']
})
export class AppComponent {
  title = 'app';
  public href: string = """";

  constructor(private router: Router) {}

  ngOnInit() {
  }

}
</code></pre>

<p><strong>app.component.html</strong></p>

<pre><code>&lt;div class=""page-wrap {{router.url}}""&gt;

  &lt;app-header&gt;&lt;/app-header&gt;

  &lt;div class=""content-wrap""&gt;

    &lt;app-sidebar&gt;&lt;/app-sidebar&gt;

    &lt;div class=""app-content""&gt;
      &lt;flash-messages&gt;&lt;/flash-messages&gt;
      &lt;router-outlet&gt;&lt;/router-outlet&gt;
    &lt;/div&gt;

  &lt;/div&gt;

&lt;/div&gt;
</code></pre>

<p>When I compile the code above through ""ng serve -prod"", i am prompted with:</p>

<blockquote>
  <p>ERROR in C:/Users/theone/Documents/Node Projects
  SourceTree/dream-angular/src/$$_gendir/app/app.component.ngfactory.ts
  (58,68): Property 'router' is private and only accessible within class
  'AppComponent'.</p>
</blockquote>
","5361707","","","","","2018-04-29 04:01:27","How to access private property through App Component in Angular 4?","<javascript><jquery><html><css><angularjs>","2","0","","",""
"58613748","1","","","2019-10-29 18:54:52","","-3","39","<p>I want to remove the empty cells from the table automatically.</p>

<pre><code>&lt;table&gt;
  &lt;tr&gt;
    &lt;th&gt;NON Empty Cells&lt;/th&gt;
    &lt;td&gt;value&lt;/td&gt;
    &lt;td&gt;value&lt;/td&gt;
  &lt;/tr&gt;
  &lt;tr&gt;
    &lt;th&gt;Empty Cells&lt;/th&gt;
    &lt;td&gt;&lt;/td&gt;
    &lt;td&gt;&lt;/td&gt;
  &lt;/tr&gt;
&lt;/table&gt;
</code></pre>
","6085819","","6085819","","2019-10-30 15:32:46","2019-10-30 15:32:46","How To Remove Empty Cells In HTML Table Automatically?","<javascript><jquery><html><css><angularjs>","0","6","","2019-10-29 19:21:39",""
"19637312","1","21328625","","2013-10-28 14:23:40","","10","21530","<p>I have an html page using AngularJS, and I want to print a div from it. Is there an Angular way of doing it? .. or it`s just the classic javascript way below:</p>

<pre><code>    &lt;script language=""javascript"" type=""text/javascript""&gt;
    function printDiv(divID) {
        //Get the HTML of div
        var divElements = document.getElementById(divID).innerHTML;
        //Get the HTML of whole page
        var oldPage = document.body.innerHTML;

        //Reset the page's HTML with div's HTML only
        document.body.innerHTML =
        ""&lt;html&gt;&lt;head&gt;&lt;title&gt;&lt;/title&gt;&lt;/head&gt;&lt;body&gt;"" +
        divElements + ""&lt;/body&gt;"";

        //Print Page
        window.print();

        //Restore orignal HTML
        document.body.innerHTML = oldPage;
        }
    &lt;/script&gt; 
</code></pre>

<p>If AngularJS doesn't have anything around this, can you suggest o way of doing it, without using JavaScript functions (ex: doc.getElementById() ).. an approach close to the AngularJS way ?</p>

<p>Thx,</p>
","2136014","","","","","2016-03-11 16:19:42","Is there an Angular way of printing a div from a HTML page?","<javascript><jquery><html><css><angularjs>","3","4","13","",""
